sepal_length,sepal_width,petal_length,petal_width,class
5.0,3.4,1.5,0.2,setosa
4.8,3.4,1.6,0.2,setosa
5.1,3.5,1.4,0.3,setosa
5.4,3.4,1.7,0.2,setosa
5.0,3.4,1.6,0.4,setosa
4.4,3.0,1.3,0.2,setosa
5.0,3.5,1.3,0.3,setosa
4.6,3.2,1.4,0.2,setosa
6.9,3.1,4.9,1.5,versicolor
5.9,3.0,4.2,1.5,versicolor
5.8,2.7,4.1,1.0,versicolor
6.1,2.8,4.0,1.3,versicolor
5.7,2.6,3.5,1.0,versicolor
5.5,2.4,3.8,1.1,versicolor
5.6,3.0,4.1,1.3,versicolor
5.8,2.6,4.0,1.2,versicolor
5.1,2.5,3.0,1.1,versicolor
5.8,2.7,5.1,1.9,virginica
7.3,2.9,6.3,1.8,virginica
6.8,3.0,5.5,2.1,virginica
6.0,2.2,5.0,1.5,virginica
5.6,2.8,4.9,2.0,virginica
6.3,2.8,5.1,1.5,virginica
6.9,3.1,5.4,2.1,virginica
6.2,3.4,5.4,2.3,virginica
